,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
147,0.735,0.9149772251117898,0.5413223140495868,0.01602054543231014,0.03112008552084571,0.01602054543231014,0.001264784303001254
148,0.74,0.915008494981186,0.5502183406113537,0.015409074232603645,0.02997858672376874,0.015409074232603645,0.0011736286775597682
149,0.745,0.9149668018219911,0.54337899543379,0.014553014553014554,0.02834683182467842,0.014553014553014554,0.0011394453180192388
150,0.75,0.9149459552423936,0.5410628019323671,0.013696954873425461,0.026717557251908396,0.013696954873425461,0.0010824730521182824
151,0.755,0.9149459552423936,0.5440414507772021,0.01284089519383637,0.025089605734767026,0.01284089519383637,0.001002711879856899
152,0.76,0.9149772251117898,0.554945054945055,0.012351718234071175,0.024165570044263666,0.012351718234071175,0.0009229507075955157
153,0.765,0.9149355319525949,0.5465116279069767,0.011495658554482084,0.02251766678644149,0.011495658554482084,0.0008887673480549863
154,0.77,0.9148625689240037,0.5279503105590062,0.010395010395010396,0.020388582393859444,0.010395010395010396,0.0008659784416945593
155,0.775,0.9148834155036012,0.5364238410596026,0.0099058334352452,0.01945244956772334,0.0099058334352452,0.0007976117226133894
156,0.78,0.9149355319525949,0.5597014925373134,0.009172067995597407,0.01804836963061003,0.009172067995597407,0.0006722727376313742
157,0.785,0.9148938387934,0.5476190476190477,0.008438302555949614,0.01662049861495845,0.008438302555949614,0.0006494838312709472
158,0.79,0.9148312990546076,0.5254237288135594,0.0075822428763605235,0.014948764315852922,0.0075822428763605235,0.0006380893780907337
159,0.795,0.914852145634205,0.5363636363636364,0.007215360156536627,0.014239169783999032,0.007215360156536627,0.0005811171121897774
160,0.8,0.9148938387934,0.5576923076923077,0.007093065916595328,0.014007970051926095,0.007093065916595328,0.000524144846288821
161,0.805,0.9149042620831987,0.5670103092783505,0.006726183196771432,0.013294657964708726,0.006726183196771432,0.00047856703356807806
162,0.81,0.9148938387934,0.5681818181818182,0.0061147119970649385,0.012099213551119177,0.0061147119970649385,0.00043298922084733515
163,0.8150000000000001,0.914852145634205,0.5476190476190477,0.005625535037299743,0.011136666263164265,0.005625535037299743,0.00043298922084733515
164,0.8200000000000001,0.9148417223444063,0.5454545454545454,0.005136358077534548,0.010176883935061788,0.005136358077534548,0.0003988058613066947
165,0.8250000000000001,0.914852145634205,0.5555555555555556,0.00489176959765195,0.009698145229724814,0.00489176959765195,0.0003646225017661653
166,0.8300000000000001,0.914852145634205,0.5625,0.004402592637886756,0.008736803785948308,0.004402592637886756,0.0003190446890454224
167,0.835,0.9148938387934,0.6111111111111112,0.004035709918062859,0.008018466771959665,0.004035709918062859,0.00023928351678403903
168,0.84,0.9148938387934,0.6153846153846154,0.003913415678121561,0.007777372706282659,0.003913415678121561,0.00022788906360382555
169,0.845,0.9148834155036012,0.6222222222222222,0.0034242387183563653,0.00681099489175383,0.0034242387183563653,0.00019370570406329612
170,0.85,0.9148938387934,0.6578947368421053,0.0030573559985324693,0.006086427267194157,0.0030573559985324693,0.0001481278913424422
171,0.855,0.9148938387934,0.6875,0.002690473278708573,0.005359970763795834,0.002690473278708573,0.00011394453180191277
172,0.86,0.9148938387934,0.7307692307692307,0.0023235905588846763,0.004632451542118737,0.0023235905588846763,7.976117226138335e-05
173,0.865,0.9148834155036012,0.7391304347826086,0.002079002079002079,0.004146341463414635,0.002079002079002079,6.836671908116987e-05
174,0.87,0.9148312990546076,0.6666666666666666,0.0014675308792955852,0.002928615009151922,0.0014675308792955852,6.836671908116987e-05
175,0.875,0.9148104524750101,0.625,0.0012229423994129876,0.0024411082631514707,0.0012229423994129876,6.836671908116987e-05
176,0.88,0.9148104524750101,0.6428571428571429,0.001100648159471689,0.002197533878647296,0.001100648159471689,5.697226590095639e-05
177,0.885,0.9147896058954127,0.5833333333333334,0.0008560596795890913,0.0017096104530467699,0.0008560596795890913,5.697226590095639e-05
178,0.89,0.9147896058954127,0.5833333333333334,0.0008560596795890913,0.0017096104530467699,0.0008560596795890913,5.697226590095639e-05
179,0.895,0.9147687593158152,0.5,0.0006114711997064938,0.0012214486380847684,0.0006114711997064938,5.697226590095639e-05
180,0.9,0.914779182605614,0.5714285714285714,0.0004891769597651951,0.0009775171065493644,0.0004891769597651951,3.418335954052942e-05
181,0.905,0.9147687593158152,0.5,0.00024458847988259754,0.0004889377826671556,0.00024458847988259754,2.2788906360426964e-05
182,0.91,0.9147687593158152,0.5,0.00024458847988259754,0.0004889377826671556,0.00024458847988259754,2.2788906360426964e-05
183,0.915,0.9147687593158152,0.5,0.00024458847988259754,0.0004889377826671556,0.00024458847988259754,2.2788906360426964e-05
184,0.92,0.9147687593158152,0.5,0.00024458847988259754,0.0004889377826671556,0.00024458847988259754,2.2788906360426964e-05
185,0.925,0.9147687593158152,0.5,0.00024458847988259754,0.0004889377826671556,0.00024458847988259754,2.2788906360426964e-05
186,0.93,0.9147583360260165,0.3333333333333333,0.00012229423994129877,0.00024449877750611245,0.00012229423994129877,2.2788906360426964e-05
187,0.935,0.914779182605614,1.0,0.00012229423994129877,0.00024455857177794083,0.00012229423994129877,0.0
